date,close
2015-11-02,119.56
2015-11-03,118.81
2015-11-04,119.26
2015-11-05,120.63
2015-11-06,118.96
2015-11-09,118.1
2015-11-10,118.35
2015-11-11,121.63
2015-11-12,121.23
2015-11-13,120.13
2015-11-16,122.39
2015-11-17,124.91
2015-11-18,126.04
2015-11-19,124.77
2015-11-20,125.85
2015-11-23,126.49
2015-11-24,127.93
2015-11-25,129.14
2015-11-27,129.14
2015-11-30,128.46
2015-12-01,128.62
2015-12-02,127.74
2015-12-03,126.85
2015-12-04,127.87
2015-12-07,128.9
2015-12-08,128.68
2015-12-09,126.79
2015-12-10,126.33
2015-12-11,122.6
2015-12-14,122.8
2015-12-15,122.48
2015-12-16,125.11
2015-12-17,124.79
2015-12-18,124.0
2015-12-21,123.81
2015-12-22,124.5
2015-12-23,125.85
2015-12-24,125.75
2015-12-28,125.84
2015-12-29,127.39
2015-12-30,126.13
2015-12-31,125.0
2016-01-04,122.47
2016-01-05,122.55
2016-01-06,120.23
2016-01-07,119.47
2016-01-08,117.13
2016-01-11,119.17
2016-01-12,119.0
2016-01-13,116.14
2016-01-14,117.13
2016-01-15,116.41
2016-01-19,118.84
2016-01-20,115.94
2016-01-21,116.74
2016-01-22,120.99
2016-01-25,121.29
2016-01-26,122.62
2016-01-27,121.9
2016-01-28,122.3
2016-01-29,125.84
2016-02-01,126.71
2016-02-02,124.99
2016-02-03,124.96
2016-02-04,122.37
2016-02-05,118.3
2016-02-08,115.19
2016-02-09,116.11
2016-02-10,116.29
2016-02-11,114.62
2016-02-12,115.42
2016-02-16,116.68
2016-02-17,117.45
2016-02-18,116.35
2016-02-19,116.4
2016-02-22,117.13
2016-02-23,116.26
2016-02-24,115.67
2016-02-25,113.43
2016-02-26,112.27
2016-02-29,111.5
2016-03-01,114.09
2016-03-02,113.61
2016-03-03,114.46
2016-03-04,116.26
2016-03-07,115.85
2016-03-08,115.01
2016-03-09,115.87
2016-03-10,116.79
2016-03-11,117.75
2016-03-14,117.17
2016-03-15,116.51
2016-03-16,117.23
2016-03-17,118.4
2016-03-18,121.55
2016-03-21,120.76
2016-03-22,122.19
2016-03-23,122.16
2016-03-24,121.58
2016-03-28,121.89
2016-03-29,124.38
2016-03-30,125.74
2016-03-31,124.66
2016-04-01,125.65
2016-04-04,126.12
2016-04-05,124.02
2016-04-06,123.39
2016-04-07,121.01
2016-04-08,121.62
2016-04-11,120.54
2016-04-12,121.13
2016-04-13,122.21
2016-04-14,125.72
2016-04-15,126.27
2016-04-18,127.92
2016-04-19,131.77
2016-04-20,131.15
2016-04-21,128.56
2016-04-22,128.27
2016-04-25,129.04
2016-04-26,128.51
2016-04-27,128.43
2016-04-28,125.16
2016-04-29,124.18
2016-05-02,125.84
2016-05-03,124.97
2016-05-04,123.05
2016-05-05,125.21
2016-05-06,125.01
2016-05-09,127.26
2016-05-10,128.1
2016-05-11,126.84
2016-05-12,126.5
2016-05-13,124.89
2016-05-16,125.49
2016-05-17,123.28
2016-05-18,122.26
2016-05-19,122.35
2016-05-20,121.99
2016-05-23,121.52
2016-05-24,124.85
2016-05-25,126.07
2016-05-26,127.17
2016-05-27,126.29
2016-05-31,126.22
2016-06-01,129.03
2016-06-02,128.26
2016-06-03,128.01
2016-06-06,130.18
2016-06-07,130.41
2016-06-08,131.67
2016-06-09,129.92
2016-06-10,125.49
2016-06-13,123.94
2016-06-14,122.28
2016-06-15,124.27
2016-06-16,125.54
2016-06-17,124.23
2016-06-20,126.45
2016-06-21,128.56
2016-06-22,128.45
2016-06-23,129.58
2016-06-24,122.47
2016-06-27,121.41
2016-06-28,123.37
2016-06-29,126.3
2016-06-30,131.68
2016-07-01,131.4
2016-07-05,128.57
2016-07-06,128.07
2016-07-07,127.19
2016-07-08,127.75
2016-07-11,127.43
2016-07-12,128.01
2016-07-13,127.72
